id,User Name,Title,Rating,Time,Country,Content,emotion_label,emotion_prob
1,JEAN LOUIS ROUSMANT,Merci à AMANDINE B,5,17/10/2023,France,"Si j'ai donné des bonnes notes, la conseillère que j'ai eu m'a bien aidé à remplir mon dossier, j'ai 70 ans et pas très doué en informatique, elle m'a expliqué avec patience et gentillesse comment faire pour télécharger les documents, sans elle je n'y serai pas arrivé. Elle m'a dit qu'elle me rappellerait mardi, et elle l'a faitBravo a elle et j'espère que vous avez beaucoup de collaborateurs comme Amandine BMerci aussi à ORANGE BANK, d'être là dans des moments difficiles",positif,42.1
2,Semra GUL Pearl,Efficacité et rapidité,5,19/10/2023,France,"Mon interlocutrice a été courtoise, professionnelle, rapide et a répondu à toutes mes questions et attentes. Je la félicite pour son efficacité ! Je n'ai eu aucun délai d'attente en plus pour joindre le service",très positif,75.36
3,Caroline Gounot,Très bonne expérience via le service…,4,19/10/2023,France,"Très bonne expérience via le service téléphonique, seul bémol est pour trouvé ce numéro...La personne au téléphone a été très aimable et a su répondre à toute mes questions.",positif,68.8
4,Guillaume,Orange Bank est une bonne banque,5,17/10/2023,France,"Orange Bank est une bonne banque. L'offre proposée pour 7,90€/mois est clairement compétitive et j'apprécie les rebates au niveau de mes factures Orange. Tout est globalisé, c'est efficace.",positif,50.02
5,M. JFLY Jim,Bon ca commence à bien faire votre…,1,23/10/2023,France,"Bon ca commence à bien faire votre banque d'amateur.Vous m'avez déjà bloqué des virements il y a quelques mois, j'ai du faire des menaces en justice afin que les virements soit effectuésMaintenant, vous vous servez sur mon compte, vous voulez vraiment que je vous attaque en justice, vous croyez vraiment que c'était une plaisanterie ???Visiblement, il s'agit d'une usurpation d'identité provenant d'un hôtel (Golden Gate) je souhaite la fermeture de cet établissement, je vous le rachète pour 1€ symbolique et je demande ""à faire des brochettes"" avec la personne qui usurpe mon identité 🤬👿C'est un ancien capitaine de gendarmerie et ancien de l'armée Je risque pas de répondre à un parasite, vous allez faire couler votre petite banque en ligne en embauchant des incapables.Si vous me remboursez pas, je viendrai me servir dans vos boutiques, il y en a un paquet en France et je recommanderai à mes amis de se servir aussi dans vos boutiques",très négatif,85.01
6,Anne-Lyse,Super,5,20/10/2023,France,Bonjour.Service rapide et très efficace. Je recommande et je suis ravie de mon échange avec votre collaborateur.,très positif,71.17
7,Louis,Problème de virements,5,22/10/2023,France,Problème de virements résolu avec un suivi et des explications claires.,positif,58.83
8,J.L,Dio mio !!,2,21/10/2023,France,"Dio mio !!!  Banque mensongère, la cause chéquier prévu lors de l’ouverture avec carte à 4,99 6 mois au lieu de 7,99. Sauf que quand on change d’offre (carte gratuite) là plus de chéquier promis. 2 mois pour encaisser 1 chèque car Groupama est situé sur l’autre planète. Enfin bref !évitez pour les agios (transfert d’argent trop long) et robot bloqué sur un langage charabia. Cerise ! Bouge ton noyau  ! Quant à Orange Bank va devenir Noire !!! 😤  😩",très négatif,78.76
9,Mélodie Mercier,Qualité de service présente,5,12/10/2023,France,"Le service client est rapidement joignable, pas d'attente. L'échange est très cordial. Le conseiller ou la conseillère est aimable et serviable. La demande est réalisée directement. La qualité de service est présente. Merci.",très positif,70.05
10,Djsinger Duhamel,"Service au top,des conseillers super…",5,13/10/2023,France,"Service au top,des conseillers super sympa et une forte implication à résoudre les petits problèmes rapidement Ils sont vraiment génial",très positif,83.08
11,Ankidine Mchindra,Très bonne implication,4,19/10/2023,Mayotte,C'est expériences ma aide a régler des problème qui perdurait depuis un moment,très positif,42.18
12,Jean-Christophe,Problème en cours de résolution,5,11/10/2023,France,"J'avais un problème et, même si celui-ci n'est pas encore résolu, il a été efficacement prit en charge par la conseille d'Orange Banq",positif,51.93
13,Christian LAFFORGUE,Mon compte était bloqué et IMPOSSIBLE…,5,03/10/2023,France,Mon compte était bloqué et IMPOSSIBLE de vous joindre au téléphone (le 0143600152) et impossible de régler le problème dans le chat. J'ai envoyé un mail mais je ne m'attendais pas à ce qu'il soit traité rapidement. J'ai été surpris de votre réactivité : votre collègue m'a répondu de suite et après les vérifications d'usage a débloqué mon compte.,très négatif,28.76
14,Heinrich,Peut-être fermeture ? Dommage,5,08/10/2023,Réunion,"Dommage, qu'à priori, Orange Bank arrête son activité dans quelques mois... c'est une excellente banque en ligne. Aurons nous un basculement simplifié sur une autre banque ? Hello Bank d'après les rumeurs...si c le cas (j'ai un compte chez eux aussi) c'est moins bien...",neutre,40.86
15,dodi Zola,Importance et Considération ( conseiller-client),4,11/10/2023,France,Merci de respecter l’ancienneté de vos clients  et merci pour votre implication à trouver des solutions aux problèmes rencontrer.la prise de considération d'un conseiller envers  son client  est un rapport important à ne pas négliger et qui satisfait.,très positif,56.27
16,Gilbert,Une banque en ligne gratuite.,5,03/10/2023,France,Une banque en ligne gratuite.L'application est facile a gerer et aussi propose des methodes simples pour demander de l'argent apres une sortie par exemple avec les amis. Virements gratuits et carte gratuite avec le compte standard. Plus de propositions et d'avantages pour le premium.,très positif,76.67
17,Guy Somekh,Conseiller clair et professionnel. Correction d'une incertitude trop long !,4,03/10/2023,France,"Bon traitement, bien expliqué, par le conseiller d'Orangebank.La protection effectuée par Orangebank sur ce qui peut lui apparaitre comme une anomalie est louable et précieux. Mais la répétition de la même erreur interpelle. Et, pire encore et surtout, le temps de traitement inutilement long après avoir répondu à un sms demandant de valider (1) ou pas (2) ne devrait être que de quelques secondes (voire une minute) pas 30 minutes.",négatif,44.57
18,Chris,Ex conjoint…,5,26/09/2023,France,"Ayant ouvert mon compte orange bank il y a une semaine, en ouvrant l'application mobile, j'avais accès au compte Groupama de mon ex conjoint (séparés depuis 10 ans) sur lequel j'avais, à priori la procuration (je ne m'en souvenais plus).Ne voyant aucun intérêt à voir ce qu'il fait de son argent je voulais savoir comment enlever le visu sur celui-ci.J'ai eu mes explications pour ne plus le voir",très négatif,51.45
19,JJS,Il faut passer le barrage du robot de…,5,13/10/2023,France,"Il faut passer le barrage du robot de chat,  ce qui est parfois kafkaïen ou ubuesque.  Une fois que l'on a affaire à une vraie personne tout s'améliore.",négatif,35.3
20,Jerome Jusmet,Facilement joignable très compréhensif…,5,18/10/2023,France,Facilement joignable très compréhensif et a bien calmer mes doutes,très positif,52.28
21,Frédéric LOPEZ,"Oui, mais..",4,07/10/2023,France,"J'apprécie toujours la bienveillance de vos opérateurs. C'est votre système d'encaissement de chèque qui est à revoir. Quant à djingo, il ne sert absolument à rien !",très négatif,60.27
22,Alexandre Lemoine,Bug sur la page de souscription,5,28/09/2023,France,"Bug sur la page de souscription, impossible de signer le contrat, j'ai eu un conseiller par messagerie très rapidement après avoir dialogué 2 minutes avec un bot. Il a été professionnel, court, concis et efficace, il a débloqué la situation en m'envoyant un lien fonctionnel pour signer le contrat de souscription.",neutre,31.38
