User Name,Title,Rating,Time,Country,Content
JEAN LOUIS ROUSMANT,Merci à AMANDINE B,5,10/17/23,FR,"Si j'ai donné des bonnes notes, la conseillère que j'ai eu m'a bien aidé à remplir mon dossier, j'ai 70 ans et pas très doué en informatique, elle m'a expliqué avec patience et gentillesse comment faire pour télécharger les documents, sans elle je n'y serai pas arrivé. Elle m'a dit qu'elle me rappellerait mardi, et elle l'a faitBravo a elle et j'espère que vous avez beaucoup de collaborateurs comme Amandine BMerci aussi à ORANGE BANK, d'être là dans des moments difficiles"
Semra GUL Pearl,Efficacité et rapidité,5,10/19/23,FR,"Mon interlocutrice a été courtoise, professionnelle, rapide et a répondu à toutes mes questions et attentes. Je la félicite pour son efficacité ! Je n'ai eu aucun délai d'attente en plus pour joindre le service"
Caroline Gounot,Très bonne expérience via le service…,4,10/19/23,FR,"Très bonne expérience via le service téléphonique, seul bémol est pour trouvé ce numéro...La personne au téléphone a été très aimable et a su répondre à toute mes questions."
Guillaume,Orange Bank est une bonne banque,5,10/17/23,FR,"Orange Bank est une bonne banque. L'offre proposée pour 7,90€/mois est clairement compétitive et j'apprécie les rebates au niveau de mes factures Orange. Tout est globalisé, c'est efficace."
M. JFLY Jim,Bon ca commence à bien faire votre…,1,10/23/23,FR,"Bon ca commence à bien faire votre banque d'amateur.Vous m'avez déjà bloqué des virements il y a quelques mois, j'ai du faire des menaces en justice afin que les virements soit effectuésMaintenant, vous vous servez sur mon compte, vous voulez vraiment que je vous attaque en justice, vous croyez vraiment que c'était une plaisanterie ???Visiblement, il s'agit d'une usurpation d'identité provenant d'un hôtel (Golden Gate) je souhaite la fermeture de cet établissement, je vous le rachète pour 1€ symbolique et je demande ""à faire des brochettes"" avec la personne qui usurpe mon identité 🤬👿C'est un ancien capitaine de gendarmerie et ancien de l'armée Je risque pas de répondre à un parasite, vous allez faire couler votre petite banque en ligne en embauchant des incapables.Si vous me remboursez pas, je viendrai me servir dans vos boutiques, il y en a un paquet en France et je recommanderai à mes amis de se servir aussi dans vos boutiques"
Anne-Lyse,Super,5,10/20/23,FR,Bonjour.Service rapide et très efficace. Je recommande et je suis ravie de mon échange avec votre collaborateur.
Louis,Problème de virements,5,10/22/23,FR,Problème de virements résolu avec un suivi et des explications claires.
J.L,Dio mio !!,2,10/21/23,FR,"Dio mio !!!  Banque mensongère, la cause chéquier prévu lors de l’ouverture avec carte à 4,99 6 mois au lieu de 7,99. Sauf que quand on change d’offre (carte gratuite) là plus de chéquier promis. 2 mois pour encaisser 1 chèque car Groupama est situé sur l’autre planète. Enfin bref !évitez pour les agios (transfert d’argent trop long) et robot bloqué sur un langage charabia. Cerise ! Bouge ton noyau  ! Quant à Orange Bank va devenir Noire !!! 😤  😩"
Mélodie Mercier,Qualité de service présente,5,10/12/23,FR,"Le service client est rapidement joignable, pas d'attente. L'échange est très cordial. Le conseiller ou la conseillère est aimable et serviable. La demande est réalisée directement. La qualité de service est présente. Merci."
Djsinger Duhamel,"Service au top,des conseillers super…",5,10/13/23,FR,"Service au top,des conseillers super sympa et une forte implication à résoudre les petits problèmes rapidement Ils sont vraiment génial"
